№,サブシステムＩＤ,サブシステム名,テーブルＩＤ,テーブル名,Key,フィールドＩＤ,フィールド名,属性,データタイプ,Null,UPD,省略値,モデル,説明
490,N,住民取引データ管理,NT021,振替指示明細,,,口座番号,固有,２０桁文字(20),×,○,,-,
491,N,住民取引データ管理,NT021,振替指示明細,,,納付番号,固有,１０桁文字(10),×,○,,-,年度、納付先自治体Ｃ、住民税納付行番、およびチェックデジットを結合した値
492,N,住民取引データ管理,NT021,振替指示明細,,,振替額,固有,正の９桁整数(9),×,○,,表示,
493,N,住民取引データ管理,NT021,振替指示明細,,,年度,導出,年(4),×,○,,表示,
494,N,住民取引データ管理,NT021,振替指示明細,,,自治体Ｃ,導出,自治体Ｃ(5),×,○,,表示,
495,N,住民取引データ管理,NT021,振替指示明細,,,取引行番,導出,税納付№(7),×,○,,表示,
496,N,住民取引データ管理,NT030,振替実績見出し,*,,振替実績id,固有,振替通知id(7),×,×,,表示,
497,N,住民取引データ管理,NT030,振替実績見出し,,,自治体Ｃ,固有,自治体Ｃ(5),×,○,,表示,
498,N,住民取引データ管理,NT030,振替実績見出し,,,振替日時,固有,日時(12),×,○,,表示,
499,N,住民取引データ管理,NT030,振替実績見出し,,,通知日時,固有,日時(12),×,○,,表示,
500,N,住民取引データ管理,NT030,振替実績見出し,,,銀行コード,固有,１０桁文字(10),×,○,,表示,
501,N,住民取引データ管理,NT030,振替実績見出し,,,状態区分,固有,システム定義区分(2),×,○,,-,残高確認通知書未発行、発行済、確認済
502,N,住民取引データ管理,NT030,振替実績見出し,,,次回振替予定日,固有,日付(8),×,○,,-,
503,N,住民取引データ管理,NT030,振替実績見出し,,,摘要,固有,可変長文字(50),×,○,,表示,
504,N,住民取引データ管理,NT031,振替実績明細,*,,振替実績id,固有,振替通知id(7),×,×,,表示,
505,N,住民取引データ管理,NT031,振替実績明細,*,,振替実績行番,固有,振替通知行番(5),×,×,,表示,
506,N,住民取引データ管理,NT031,振替実績明細,,,住民id,固有,住民id(15),×,○,,表示,
507,N,住民取引データ管理,NT031,振替実績明細,,,法人id,固有,法人id(10),×,○,,表示,
508,N,住民取引データ管理,NT031,振替実績明細,,,取引結果区分,固有,システム定義区分(2),×,○,,表示,現金入金完了、自動引落成功、自動引落失敗（残高不足）
509,N,住民取引データ管理,NT031,振替実績明細,,,納付者カナ名,固有,３０桁文字(30),×,○,,表示,
510,N,住民取引データ管理,NT031,振替実績明細,,,納付番号,固有,１０桁文字(10),×,○,,-,年度、納付先自治体Ｃ、住民税納付行番、およびチェックデジットを結合した値
511,N,住民取引データ管理,NT031,振替実績明細,,,突合結果区分,固有,システム定義区分(2),×,○,,表示,突合成功、突合失敗（客体不特定）、突合失敗（納付予定不特定）
512,N,住民取引データ管理,NT031,振替実績明細,,,振替額,固有,正の９桁整数(9),×,○,,表示,
513,N,住民取引データ管理,NT031,振替実績明細,,,年度,固有,年(4),×,○,,表示,
514,N,住民取引データ管理,NT031,振替実績明細,,,取引行番,固有,税納付№(7),×,○,,表示,
515,N,住民取引データ管理,NT031,振替実績明細,,,自治体Ｃ,継承,自治体Ｃ(5),×,○,,表示,
516,N,住民取引データ管理,NT040,入金通知見出し,*,,入金通知id,固有,相殺id(7),×,×,,表示,
517,N,住民取引データ管理,NT040,入金通知見出し,,,作成日,固有,日付(8),×,○,,表示,
518,N,住民取引データ管理,NT040,入金通知見出し,,,住民id,固有,住民id(15),×,○,,表示,
519,N,住民取引データ管理,NT040,入金通知見出し,,,法人id,固有,法人id(10),×,○,,表示,
520,N,住民取引データ管理,NT040,入金通知見出し,,,状態区分,固有,システム定義区分(2),×,○,,表示,未通知、通知済
521,N,住民取引データ管理,NT040,入金通知見出し,,,摘要,固有,可変長文字(50),×,○,,表示,
522,N,住民取引データ管理,NT040,入金通知見出し,,,給還付額,導出,正の７桁整数(7),×,○,,表示,
523,N,住民取引データ管理,NT040,入金通知見出し,,,相殺額,導出,正の７桁整数(7),×,○,,表示,
524,N,住民取引データ管理,NT040,入金通知見出し,,,入金予定額,導出,正の７桁整数(7),×,○,,表示,
525,N,住民取引データ管理,NT050,入金通知明細,*,,入金通知id,固有,相殺id(7),×,×,,表示,
526,N,住民取引データ管理,NT050,入金通知明細,*,,通知行番,固有,入金通知行番(3),×,×,,表示,
527,N,住民取引データ管理,NT050,入金通知明細,,,年度,固有,年(4),×,○,,表示,
528,N,住民取引データ管理,NT050,入金通知明細,,,自治体Ｃ,固有,自治体Ｃ(5),×,○,,表示,
529,N,住民取引データ管理,NT050,入金通知明細,,,取引行番,固有,税納付№(7),×,○,,表示,
530,N,住民取引データ管理,NT050,入金通知明細,,,取引額,固有,正の９桁整数(9),×,○,,表示,
531,P,★住民債権データ管理,PT010,債務者属性,*,,債務者id,固有,債務者id(7),×,×,,表示,
532,P,★住民債権データ管理,PT010,債務者属性,,,法人個人区分,固有,システム定義区分(2),×,○,,表示,
533,P,★住民債権データ管理,PT010,債務者属性,,,住民id,固有,住民id(15),×,○,,表示,
534,P,★住民債権データ管理,PT010,債務者属性,,,法人id,固有,法人id(10),×,○,,表示,
535,P,★住民債権データ管理,PT010,債務者属性,,,債務者名,継承,３０桁文字(30),×,○,,表示,
536,P,★住民債権データ管理,PT010,債務者属性,,,債務者郵便番号,継承,１０桁文字(10),×,○,,表示,
537,P,★住民債権データ管理,PT010,債務者属性,,,債務者住所,継承,４０桁文字(40),×,○,,表示,
538,P,★住民債権データ管理,PT010,債務者属性,,,債務者電話番号,継承,２０桁文字(20),×,○,,表示,
539,P,★住民債権データ管理,PT020,債務者別年次SUM,*,,債務者id,固有,債務者id(7),×,×,,表示,
540,P,★住民債権データ管理,PT020,債務者別年次SUM,*,,債権自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
541,P,★住民債権データ管理,PT020,債務者別年次SUM,*,,年度,固有,年(4),×,×,,表示,
542,P,★住民債権データ管理,PT020,債務者別年次SUM,,,住民税繰越滞納額,固有,正の９桁整数(9),×,○,,表示,
543,P,★住民債権データ管理,PT020,債務者別年次SUM,,,固定資産税繰越滞納額,固有,正の９桁整数(9),×,○,,表示,
544,P,★住民債権データ管理,PT020,債務者別年次SUM,,,国保保険料滞納額,固有,正の９桁整数(9),×,○,,表示,
545,P,★住民債権データ管理,PT020,債務者別年次SUM,,,国保不正利得未納額,固有,正の９桁整数(9),×,○,,表示,
546,P,★住民債権データ管理,PT020,債務者別年次SUM,,,老人福祉不正利得未納額,固有,正の９桁整数(9),×,○,,-,
547,P,★住民債権データ管理,PT020,債務者別年次SUM,,,障害者福祉不正利得未納額,固有,正の９桁整数(9),×,○,,-,
548,P,★住民債権データ管理,PT020,債務者別年次SUM,,,児童福祉不正利得未納額,固有,正の９桁整数(9),×,○,,-,
549,P,★住民債権データ管理,PT020,債務者別年次SUM,,,生活保護不正利得未納額,固有,正の９桁整数(9),×,○,,-,
550,P,★住民債権データ管理,PT020,債務者別年次SUM,,,入出金管理id,固有,納付管理id(10),×,○,,表示,
551,P,★住民債権データ管理,PT030,取立活動実績,*,,債務者id,固有,債務者id(7),×,×,,表示,
552,P,★住民債権データ管理,PT030,取立活動実績,*,,年度,固有,年(4),×,×,,表示,
553,P,★住民債権データ管理,PT030,取立活動実績,*,,活動行番,固有,活動行番(3),×,×,,表示,
554,P,★住民債権データ管理,PT030,取立活動実績,*,,債権自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
555,P,★住民債権データ管理,PT030,取立活動実績,,,活動区分,固有,システム定義区分(2),×,○,,表示,
556,P,★住民債権データ管理,PT030,取立活動実績,,,活動日１,固有,日付(8),×,○,,表示,
557,P,★住民債権データ管理,PT030,取立活動実績,,,活動日２,固有,日付(8),×,○,,表示,
558,P,★住民債権データ管理,PT030,取立活動実績,,,活動内容,固有,可変長文字(50),×,○,,表示,
559,P,★住民債権データ管理,PT030,取立活動実績,,,結果区分,固有,システム定義区分(2),×,○,,表示,
560,Q,レセプトデータ管理,QT010,保健診療実績,*,,受信バッチid,固有,受信バッチid(7),×,×,,表示,
561,Q,レセプトデータ管理,QT010,保健診療実績,*,,データ行番,固有,レセプトid(7),×,×,,表示,
562,Q,レセプトデータ管理,QT010,保健診療実績,,,資格区分,固有,システム定義区分(2),×,○,,表示,国保、老人保健、乳幼児医療、障害者
563,Q,レセプトデータ管理,QT010,保健診療実績,,,国保記号番号,固有,国保記号番号(15),×,○,,表示,
564,Q,レセプトデータ管理,QT010,保健診療実績,,,受診者名,固有,３０桁文字(30),×,○,,表示,
565,Q,レセプトデータ管理,QT010,保健診療実績,,,診療費,固有,正の９桁整数(9),×,○,,表示,
566,Q,レセプトデータ管理,QT010,保健診療実績,,,国保支払額,固有,正の９桁整数(9),×,○,,表示,
567,Q,レセプトデータ管理,QT010,保健診療実績,,,疾病コード,固有,１０桁文字(10),×,○,,表示,
568,Q,レセプトデータ管理,QT010,保健診療実績,,,診療日,固有,日付(8),×,○,,表示,
569,Q,レセプトデータ管理,QT010,保健診療実績,,,報告日,固有,日付(8),×,○,,表示,
570,Q,レセプトデータ管理,QT010,保健診療実績,,,医療機関名,固有,可変長文字(50),×,○,,表示,
571,Q,レセプトデータ管理,QT010,保健診療実績,,,支払日,固有,日付(8),×,○,,表示,
572,Q,レセプトデータ管理,QT010,保健診療実績,,,取引状態区分,固有,システム定義区分(2),×,○,,表示,支払認可済、不正利益請求済
573,Q,レセプトデータ管理,QT010,保健診療実績,,,第三者請求先名,固有,２０桁文字(20),×,○,,-,
574,Q,レセプトデータ管理,QT010,保健診療実績,,,第三者請求先住所,固有,３０桁文字(30),×,○,,-,
575,Q,レセプトデータ管理,QT010,保健診療実績,,,第三者請求先郵便番号,固有,１０桁文字(10),×,○,,-,
576,Q,レセプトデータ管理,QT010,保健診療実績,,,入出金管理id,固有,納付管理id(10),×,○,,表示,
577,Q,レセプトデータ管理,QT010,保健診療実績,,,住民負担額,導出,正の９桁整数(9),×,○,,-,
578,Q,レセプトデータ管理,QT010,保健診療実績,,,年度,導出,年(4),×,○,,-,
579,Q,レセプトデータ管理,QT010,保健診療実績,,,年月,導出,年月(6),×,○,,-,
580,Q,レセプトデータ管理,QT010,保健診療実績,,,被保険者id,導出,住民id(15),×,○,,-,
581,Q,レセプトデータ管理,QT010,保健診療実績,,,自治体Ｃ,導出,自治体Ｃ(5),×,○,,-,
582,Q,レセプトデータ管理,QT020,レセプト受信バッチ,*,,受信バッチid,固有,受信バッチid(7),×,×,,表示,
583,Q,レセプトデータ管理,QT020,レセプト受信バッチ,,,自治体Ｃ,固有,自治体Ｃ(5),×,○,,表示,
584,Q,レセプトデータ管理,QT020,レセプト受信バッチ,,,受信日時,固有,日時(12),×,○,,表示,
585,Q,レセプトデータ管理,QT020,レセプト受信バッチ,,,処理状態,固有,システム定義区分(2),×,○,,表示,未返信、返信済
586,Q,レセプトデータ管理,QT020,レセプト受信バッチ,,,突合エラー件数,導出,正の５桁整数(5),×,○,,表示,
587,Q,レセプトデータ管理,QT020,レセプト受信バッチ,,,突合完了件数,導出,正の５桁整数(5),×,○,,表示,
588,Q,レセプトデータ管理,QT021,レセプト受信バッチ明細,*,,受信バッチid,固有,受信バッチid(7),×,×,,表示,
589,Q,レセプトデータ管理,QT021,レセプト受信バッチ明細,*,,データ行番,固有,レセプトid(7),×,×,,表示,
590,Q,レセプトデータ管理,QT021,レセプト受信バッチ明細,,,国保連管理番号,固有,１０桁文字(10),×,○,,表示,
591,Q,レセプトデータ管理,QT021,レセプト受信バッチ明細,,,受信バッファ,固有,可変長文字(50),×,○,,表示,
592,Q,レセプトデータ管理,QT021,レセプト受信バッチ明細,,,突合結果,固有,システム定義区分(2),×,○,,表示,正常、エラー
593,R,★業者支払データ管理,RT010,業者支払明細,*,,年度,固有,年(4),×,×,,表示,
594,R,★業者支払データ管理,RT010,業者支払明細,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
595,R,★業者支払データ管理,RT010,業者支払明細,*,,取引行番,固有,税納付№(7),×,×,,表示,
596,R,★業者支払データ管理,RT010,業者支払明細,,,法人id,固有,法人id(10),×,○,,表示,
597,R,★業者支払データ管理,RT010,業者支払明細,,,取引区分,固有,システム定義区分(2),×,○,,表示,
598,R,★業者支払データ管理,RT010,業者支払明細,,,取引日,固有,日付(8),×,○,,表示,
599,R,★業者支払データ管理,RT010,業者支払明細,,,支払額,固有,正の９桁整数(9),×,○,,表示,
600,R,★業者支払データ管理,RT010,業者支払明細,,,状態区分,固有,システム定義区分(2),×,○,,表示,未承認、承認済、納付書送付済、振替指示済／未入出金、入出金済、債権管理移管済、取消済
601,R,★業者支払データ管理,RT010,業者支払明細,,,摘要,固有,可変長文字(50),×,○,,表示,
602,R,★業者支払データ管理,RT010,業者支払明細,,,支払行番,固有,業者支払id(7),×,○,,表示,
603,R,★業者支払データ管理,RT010,業者支払明細,,,業者支払管理id,固有,業者支払管理ID(7),×,○,,表示,
604,R,★業者支払データ管理,RT010,業者支払明細,,,年月,導出,年月(6),×,○,,-,
605,R,★業者支払データ管理,RT020,業者支払見出し,*,,年度,固有,年(4),×,×,,表示,
606,R,★業者支払データ管理,RT020,業者支払見出し,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
607,R,★業者支払データ管理,RT020,業者支払見出し,*,,支払行番,固有,業者支払id(7),×,×,,表示,
608,R,★業者支払データ管理,RT020,業者支払見出し,,,法人id,固有,法人id(10),×,○,,表示,
609,R,★業者支払データ管理,RT020,業者支払見出し,,,支払予定日,固有,日付(8),×,○,,表示,
610,R,★業者支払データ管理,RT020,業者支払見出し,,,摘要,固有,可変長文字(50),×,○,,表示,
611,S,★住民情報閲覧管理,ST010,住基情報閲覧セッション,*,,閲覧認可コード,固有,１０桁文字(10),×,×,,表示,
612,S,★住民情報閲覧管理,ST010,住基情報閲覧セッション,,,住民id,固有,住民id(15),×,○,,表示,
613,S,★住民情報閲覧管理,ST010,住基情報閲覧セッション,,,閲覧開始日時,固有,日時(12),×,○,,表示,
614,S,★住民情報閲覧管理,ST010,住基情報閲覧セッション,,,閲覧終了日時,固有,日時(12),×,○,,表示,
615,S,★住民情報閲覧管理,ST010,住基情報閲覧セッション,,,世帯同居人情報閲覧認可フラグ,固有,フラグ(1),×,○,,表示,
616,S,★住民情報閲覧管理,ST010,住基情報閲覧セッション,,,セッション登録日時,固有,日時(12),×,○,,-,
617,S,★住民情報閲覧管理,ST010,住基情報閲覧セッション,,,摘要,固有,可変長文字(50),×,○,,表示,
618,S,★住民情報閲覧管理,ST010,住基情報閲覧セッション,,,自治体Ｃ,固有,自治体Ｃ(5),×,○,,表示,
619,S,★住民情報閲覧管理,ST010,住基情報閲覧セッション,,,登録職員Ｃ,固有,職員Ｃ(7),×,○,,表示,
620,X,統計データ管理,XT010,自治体･年度別SUM,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
621,X,統計データ管理,XT010,自治体･年度別SUM,*,,年度,固有,年(4),×,×,,表示,
622,X,統計データ管理,XT010,自治体･年度別SUM,,,摘要,固有,可変長文字(50),×,○,,表示,
623,X,統計データ管理,XT010,自治体･年度別SUM,,,通知書送付日,固有,日付(8),×,○,,表示,
624,X,統計データ管理,XT010,自治体･年度別SUM,,,個人住民税課税様式,固有,可変長文字(50),×,○,,表示,ＸＭＬデータの属性様式
625,X,統計データ管理,XT010,自治体･年度別SUM,,,法人住民税課税様式,固有,可変長文字(50),×,○,,表示,ＸＭＬデータの属性様式
626,X,統計データ管理,XT010,自治体･年度別SUM,,,均等割住民税額,固有,正の９桁整数(9),×,○,,表示,
627,X,統計データ管理,XT010,自治体･年度別SUM,,,法人均等割住民税額,固有,正の９桁整数(9),×,○,,-,
628,X,統計データ管理,XT010,自治体･年度別SUM,,,医療保険料均等割,固有,正の９桁整数(9),×,○,,-,
629,X,統計データ管理,XT010,自治体･年度別SUM,,,医療保険料平等割,固有,正の９桁整数(9),×,○,,-,
630,X,統計データ管理,XT010,自治体･年度別SUM,,,後期高齢者支援保険料均等割,固有,正の９桁整数(9),×,○,,-,
631,X,統計データ管理,XT010,自治体･年度別SUM,,,後期高齢者支援保険料平等割,固有,正の９桁整数(9),×,○,,-,
632,X,統計データ管理,XT010,自治体･年度別SUM,,,介護保険料均等割,固有,正の９桁整数(9),×,○,,-,
633,X,統計データ管理,XT010,自治体･年度別SUM,,,介護保険料平等割,固有,正の９桁整数(9),×,○,,-,
634,X,統計データ管理,XT010,自治体･年度別SUM,,,個人住民税総額,固有,正の９桁整数(9),×,○,,表示,
635,X,統計データ管理,XT010,自治体･年度別SUM,,,個人住民税納付総額,固有,正の９桁整数(9),×,○,,-,
636,X,統計データ管理,XT010,自治体･年度別SUM,,,個人固定資産税総額,固有,正の９桁整数(9),×,○,,-,
637,X,統計データ管理,XT010,自治体･年度別SUM,,,個人固定資産税納付総額,固有,正の９桁整数(9),×,○,,-,
638,X,統計データ管理,XT010,自治体･年度別SUM,,,個人軽自動車税総額,固有,正の９桁整数(9),×,○,,-,
639,X,統計データ管理,XT010,自治体･年度別SUM,,,個人軽自動車税納付総額,固有,正の９桁整数(9),×,○,,-,
640,X,統計データ管理,XT010,自治体･年度別SUM,,,個人繰越未納総額,固有,正の９桁整数(9),×,○,,表示,
641,X,統計データ管理,XT010,自治体･年度別SUM,,,法人住民税総額,固有,正の９桁整数(9),×,○,,-,
642,X,統計データ管理,XT010,自治体･年度別SUM,,,法人住民税納付総額,固有,正の９桁整数(9),×,○,,-,
643,X,統計データ管理,XT010,自治体･年度別SUM,,,法人固定資産税総額,固有,正の９桁整数(9),×,○,,-,
644,X,統計データ管理,XT010,自治体･年度別SUM,,,法人固定資産税納付総額,固有,正の９桁整数(9),×,○,,-,
645,X,統計データ管理,XT010,自治体･年度別SUM,,,法人軽自動車税総額,固有,正の９桁整数(9),×,○,,-,
646,X,統計データ管理,XT010,自治体･年度別SUM,,,法人軽自動車税納付総額,固有,正の９桁整数(9),×,○,,-,
647,X,統計データ管理,XT010,自治体･年度別SUM,,,法人繰越未納総額,固有,正の９桁整数(9),×,○,,-,
648,X,統計データ管理,XT010,自治体･年度別SUM,,,国保連診療費,固有,正の９桁整数(9),×,○,,表示,
649,X,統計データ管理,XT010,自治体･年度別SUM,,,国保連支払額,固有,正の９桁整数(9),×,○,,表示,
650,X,統計データ管理,XT010,自治体･年度別SUM,,,国保不正利益請求額,固有,正の９桁整数(9),×,○,,-,
651,X,統計データ管理,XT010,自治体･年度別SUM,,,国保不正利益回収額,固有,正の９桁整数(9),×,○,,-,
652,X,統計データ管理,XT010,自治体･年度別SUM,,,老人福祉サービス費,固有,正の９桁整数(9),×,○,,-,
653,X,統計データ管理,XT010,自治体･年度別SUM,,,障害者福祉サービス費,固有,正の９桁整数(9),×,○,,-,
654,X,統計データ管理,XT010,自治体･年度別SUM,,,児童福祉サービス費,固有,正の９桁整数(9),×,○,,-,
655,X,統計データ管理,XT010,自治体･年度別SUM,,,生保サービス費,固有,正の９桁整数(9),×,○,,-,
656,X,統計データ管理,XT020,自治体･月度別SUM,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
657,X,統計データ管理,XT020,自治体･月度別SUM,*,,年度,固有,年(4),×,×,,表示,
658,X,統計データ管理,XT020,自治体･月度別SUM,*,,年月,固有,年月(6),×,×,,表示,
659,X,統計データ管理,XT020,自治体･月度別SUM,,,個人住民税納付額,固有,正の９桁整数(9),×,○,,表示,
660,X,統計データ管理,XT020,自治体･月度別SUM,,,法人住民税納付額,固有,正の９桁整数(9),×,○,,表示,
661,X,統計データ管理,XT020,自治体･月度別SUM,,,国保連診療費,固有,正の９桁整数(9),×,○,,表示,
662,X,統計データ管理,XT020,自治体･月度別SUM,,,国保連支払額,固有,正の９桁整数(9),×,○,,表示,
663,X,統計データ管理,XT020,自治体･月度別SUM,,,国保不正利益請求額,固有,正の９桁整数(9),×,○,,-,
664,X,統計データ管理,XT020,自治体･月度別SUM,,,国保不正利益回収額,固有,正の９桁整数(9),×,○,,-,
665,X,統計データ管理,XT020,自治体･月度別SUM,,,老人福祉サービス費,固有,正の９桁整数(9),×,○,,-,
666,X,統計データ管理,XT020,自治体･月度別SUM,,,障害者福祉サービス費,固有,正の９桁整数(9),×,○,,-,
667,X,統計データ管理,XT020,自治体･月度別SUM,,,児童福祉サービス費,固有,正の９桁整数(9),×,○,,-,
668,X,統計データ管理,XT020,自治体･月度別SUM,,,生保サービス費,固有,正の９桁整数(9),×,○,,-,
669,Y,自治体データ管理,YT010,自治体,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
670,Y,自治体データ管理,YT010,自治体,,,自治体名,固有,２０桁文字(20),×,○,,表示,
671,Y,自治体データ管理,YT010,自治体,,,市区町村区分,固有,システム定義区分(2),×,○,,表示,
672,Y,自治体データ管理,YT010,自治体,,,都道府県コード,固有,ユーザ定義区分(2),×,○,,表示,
673,Y,自治体データ管理,YT010,自治体,,,庁所在地,固有,４０桁文字(40),×,○,,表示,
674,Y,自治体データ管理,YT010,自治体,,,庁所在地郵便番号,固有,正の７桁整数(7),×,○,,-,
675,Y,自治体データ管理,YT010,自治体,,,代表電話番号,固有,２０桁文字(20),×,○,,表示,
676,Y,自治体データ管理,YT010,自治体,,,自治体施行日,固有,日付(8),×,○,,-,
677,Y,自治体データ管理,YT011,自治体別区域,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
678,Y,自治体データ管理,YT011,自治体別区域,*,,区域行番,固有,区域行番(5),×,×,,表示,
679,Y,自治体データ管理,YT011,自治体別区域,,,区域カナ名,固有,２０桁文字(20),×,○,,表示,
680,Y,自治体データ管理,YT011,自治体別区域,,,区域漢字名,固有,２０桁文字(20),×,○,,表示,
681,Y,自治体データ管理,YT011,自治体別区域,,,郵便番号,固有,１０桁文字(10),×,○,,表示,
682,Y,自治体データ管理,YT020,部署,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
683,Y,自治体データ管理,YT020,部署,*,,部署Ｃ,固有,部署Ｃ(3),×,×,,表示,
684,Y,自治体データ管理,YT020,部署,,,部署名,固有,２０桁文字(20),×,○,,表示,
685,Y,自治体データ管理,YT020,部署,,,階層区分,固有,システム定義区分(2),×,○,,表示,
686,Y,自治体データ管理,YT020,部署,,,上位部署Ｃ,固有,部署Ｃ(3),×,○,,表示,
687,Y,自治体データ管理,YT030,職員基本属性,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
688,Y,自治体データ管理,YT030,職員基本属性,*,,職員Ｃ,固有,職員Ｃ(7),×,×,,表示,
689,Y,自治体データ管理,YT030,職員基本属性,,,職員漢字名,固有,３０桁文字(30),×,○,,表示,
690,Y,自治体データ管理,YT030,職員基本属性,,,職員カナ名,固有,３０桁文字(30),×,○,,-,
691,Y,自治体データ管理,YT030,職員基本属性,,,就職日,固有,日付(8),×,○,,表示,
692,Y,自治体データ管理,YT030,職員基本属性,,,退職日,固有,日付(8),×,○,,表示,
693,Y,自治体データ管理,YT030,職員基本属性,,,職員区分,固有,システム定義区分(2),×,○,,表示,正職員、専門職スタッフ、ケースワーカー、派遣
694,Y,自治体データ管理,YT031,職員所属部署,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
695,Y,自治体データ管理,YT031,職員所属部署,*,,職員Ｃ,固有,職員Ｃ(7),×,×,,表示,
696,Y,自治体データ管理,YT031,職員所属部署,*,,部署Ｃ,固有,部署Ｃ(3),×,×,,表示,
697,Y,自治体データ管理,YT031,職員所属部署,*,,発効日,固有,日付(8),×,×,,表示,
698,Y,自治体データ管理,YT031,職員所属部署,,,失効日,固有,日付(8),×,○,,表示,
699,Y,自治体データ管理,YT031,職員所属部署,,,職格区分,固有,ユーザ定義区分(2),×,○,,表示,
700,Y,自治体データ管理,YT040,自治体カレンダー,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
701,Y,自治体データ管理,YT040,自治体カレンダー,*,,日付,固有,日付(8),×,×,,表示,
702,Y,自治体データ管理,YT040,自治体カレンダー,,,振替指示日フラグ,固有,フラグ(1),×,○,,表示,
703,Y,自治体データ管理,YT040,自治体カレンダー,,,摘要,固有,２０桁文字(20),×,○,,表示,
704,Z,システム制御,ZT000,システム変数FILE,,,取引データ保管年数,固有,正の２桁整数(2),×,○,,表示,
705,Z,システム制御,ZT000,システム変数FILE,,,セッション№現在値,固有,セッション№(11),×,○,,表示,
706,Z,システム制御,ZT000,システム変数FILE,,,セッション№C/D,固有,フラグ(1),×,○,,表示,
707,Z,システム制御,ZT000,システム変数FILE,,,ＸＸＸＸ№現在値,固有,セッション№(11),×,○,,表示,
708,Z,システム制御,ZT000,システム変数FILE,,,ＸＸＸＸ№C/D,固有,フラグ(1),×,○,,表示,
709,Z,システム制御,ZT010,ユーザ,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
710,Z,システム制御,ZT010,ユーザ,*,,職員Ｃ,固有,職員Ｃ(7),×,×,,表示,
711,Z,システム制御,ZT010,ユーザ,,,ログインパスワード,固有,１０桁文字(10),×,○,,表示,
712,Z,システム制御,ZT010,ユーザ,,,職員漢字名,継承,３０桁文字(30),×,○,,表示,職員基本属性より継承
713,Z,システム制御,ZT010,ユーザ,,,職員カナ名,継承,３０桁文字(30),×,○,,表示,職員基本属性より継承
714,Z,システム制御,ZT011,ユーザ職務明細,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
715,Z,システム制御,ZT011,ユーザ職務明細,*,,職員Ｃ,固有,職員Ｃ(7),×,×,,表示,
716,Z,システム制御,ZT011,ユーザ職務明細,*,,職務区分,固有,システム定義区分(2),×,×,,表示,住基情報管理者、選挙情報管理者、 ...
717,Z,システム制御,ZT011,ユーザ職務明細,*,,発効日,固有,日付(8),×,×,,表示,
718,Z,システム制御,ZT011,ユーザ職務明細,,,失効日,固有,日付(8),×,○,,表示,
719,Z,システム制御,ZT020,セッション履歴,*,,セッション№,固有,セッション№(11),×,×,,表示,
720,Z,システム制御,ZT020,セッション履歴,,,ログイン日時,固有,日時(12),×,○,,表示,
721,Z,システム制御,ZT020,セッション履歴,,,ログアウト日時,固有,日時(12),×,○,,表示,
722,Z,システム制御,ZT020,セッション履歴,,,自治体Ｃ,固有,自治体Ｃ(5),×,○,,表示,
723,Z,システム制御,ZT020,セッション履歴,,,職員Ｃ,固有,職員Ｃ(7),×,○,,表示,
724,Z,システム制御,ZT021,プログラム利用履歴,*,,セッション№,固有,セッション№(11),×,×,,表示,
725,Z,システム制御,ZT021,プログラム利用履歴,*,,PGM行番,固有,PGM行番(5),×,×,,表示,
726,Z,システム制御,ZT021,プログラム利用履歴,,,プログラムＩＤ,固有,１０桁文字(10),×,○,,表示,
727,Z,システム制御,ZT021,プログラム利用履歴,,,（プログラム名）,固有,３０桁文字(30),×,○,,表示,フレームワーク内の関数を用いてプログラムＩＤから検索される
728,Z,システム制御,ZT021,プログラム利用履歴,,,利用開始日時,固有,日時(12),×,○,,表示,
729,Z,システム制御,ZT021,プログラム利用履歴,,,利用終了日時,固有,日時(12),×,○,,表示,
730,Z,システム制御,ZT021,プログラム利用履歴,,,戻りコード,固有,１０桁文字(10),×,○,,表示,
731,Z,システム制御,ZT021,プログラム利用履歴,,,職務区分,固有,システム定義区分(2),×,○,,表示,住基情報管理者、印鑑情報管理者、選挙情報管理者、 ...
732,Z,システム制御,ZT030,区分定義,*,,区分id,固有,区分id(3),×,×,,表示,
733,Z,システム制御,ZT030,区分定義,,,区分名,固有,２０桁文字(20),×,○,,表示,
734,Z,システム制御,ZT030,区分定義,,,区分タイプ,固有,２０桁文字(20),×,○,,表示,システム定義区分、ユーザ定義区分のいずれか...
735,Z,システム制御,ZT030,区分定義,,,値タイプ,固有,１０桁文字(10),×,○,,表示,String、Number
